epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8394,0.8738,1.99217,1.2325,0.78652,0.71936,0.79289,0.5903,0.83748,1.48957,1.29623,0.000368019,0.000368019,0.000368019
2,104.663,0.92214,1.2069,1.25152,0.77307,0.74138,0.82447,0.60108,0.97031,1.25529,1.32402,0.000731042,0.000731042,0.000731042
3,156.188,0.94636,1.13905,1.24813,0.73816,0.74879,0.80499,0.59497,0.9123,1.28428,1.24868,0.00108673,0.00108673,0.00108673
4,207.301,0.92164,1.10245,1.21949,0.85454,0.8054,0.85436,0.66146,0.8484,1.04649,1.21758,0.001078,0.001078,0.001078
5,258.697,0.88046,0.99808,1.21027,0.83227,0.78665,0.86236,0.66829,0.90671,0.97254,1.25247,0.001067,0.001067,0.001067
6,309.986,0.89968,0.9616,1.222,0.85937,0.77414,0.86021,0.67722,0.81351,0.98123,1.17952,0.00105601,0.00105601,0.00105601
7,361.193,0.85767,0.89428,1.17167,0.91059,0.84426,0.90844,0.72774,0.78562,0.72665,1.14385,0.00104501,0.00104501,0.00104501
8,412.522,0.81999,0.84793,1.156,0.86709,0.84231,0.88512,0.71396,0.78403,0.79962,1.13078,0.00103401,0.00103401,0.00103401
9,463.901,0.79513,0.78472,1.14421,0.88973,0.84273,0.90179,0.73877,0.73733,0.7528,1.13383,0.00102301,0.00102301,0.00102301
10,515.397,0.76385,0.72856,1.13314,0.89933,0.85467,0.9206,0.77095,0.72402,0.76681,1.09594,0.00101201,0.00101201,0.00101201
11,566.723,0.73902,0.72102,1.11742,0.91467,0.84314,0.91412,0.76842,0.68937,0.73707,1.0895,0.00100101,0.00100101,0.00100101
12,617.864,0.74216,0.70843,1.12489,0.91696,0.88477,0.93013,0.7669,0.70425,0.65625,1.07422,0.000990012,0.000990012,0.000990012
13,669.148,0.68299,0.65797,1.09037,0.91313,0.88083,0.92459,0.77635,0.70823,0.67124,1.11255,0.000979013,0.000979013,0.000979013
14,720.314,0.71425,0.66174,1.09704,0.91117,0.89175,0.92703,0.78969,0.67862,0.62258,1.06971,0.000968014,0.000968014,0.000968014
15,771.5,0.70302,0.64943,1.08947,0.92551,0.88304,0.91928,0.79391,0.67166,0.64324,1.07247,0.000957015,0.000957015,0.000957015
16,823.083,0.69298,0.60803,1.07717,0.89658,0.91122,0.92784,0.79756,0.6768,0.62989,1.08382,0.000946016,0.000946016,0.000946016
17,874.336,0.64238,0.58592,1.04913,0.93076,0.88871,0.93048,0.79782,0.63446,0.59486,1.04475,0.000935018,0.000935018,0.000935018
18,925.715,0.64746,0.57675,1.05884,0.92678,0.90792,0.93925,0.80569,0.62108,0.7033,1.0596,0.000924019,0.000924019,0.000924019
19,977.017,0.64094,0.54681,1.05585,0.95048,0.88574,0.94434,0.81707,0.6002,0.53381,1.01633,0.00091302,0.00091302,0.00091302
20,1028.35,0.61278,0.54079,1.0408,0.93178,0.92294,0.94696,0.8208,0.62009,0.55614,1.03789,0.000902021,0.000902021,0.000902021
21,1079.22,0.61071,0.52069,1.0284,0.92687,0.91074,0.9492,0.83493,0.57863,0.50547,1.00407,0.000891022,0.000891022,0.000891022
22,1130.52,0.58268,0.50722,1.01949,0.92747,0.90231,0.9391,0.83273,0.54681,0.54083,0.99002,0.000880023,0.000880023,0.000880023
23,1181.87,0.60036,0.50484,1.02843,0.92363,0.93141,0.95683,0.83905,0.57046,0.47473,0.98508,0.000869024,0.000869024,0.000869024
24,1233.44,0.57738,0.48669,1.02243,0.94008,0.90577,0.94384,0.83642,0.56681,0.52528,0.99604,0.000858025,0.000858025,0.000858025
25,1284.57,0.58762,0.47972,1.00859,0.92004,0.91951,0.94551,0.83885,0.55772,0.57072,1.00643,0.000847026,0.000847026,0.000847026
26,1335.85,0.56178,0.4622,0.99517,0.9391,0.93713,0.95804,0.85188,0.53747,0.47584,0.98065,0.000836027,0.000836027,0.000836027
27,1387.15,0.56862,0.47431,1.00363,0.9319,0.91332,0.9601,0.84407,0.59262,0.53263,1.02286,0.000825029,0.000825029,0.000825029
28,1438.58,0.56336,0.48125,1.00492,0.95685,0.90907,0.95544,0.85466,0.57642,0.48071,1.023,0.00081403,0.00081403,0.00081403
29,1489.96,0.54637,0.45565,0.99109,0.93712,0.92805,0.96061,0.85353,0.56702,0.46221,1.0118,0.000803031,0.000803031,0.000803031
30,1541.34,0.54206,0.4369,0.99787,0.94218,0.91376,0.95724,0.85446,0.56785,0.4704,1.00597,0.000792032,0.000792032,0.000792032
31,1592.86,0.53862,0.43167,0.9955,0.94902,0.92541,0.94812,0.84145,0.59272,0.50158,1.0354,0.000781033,0.000781033,0.000781033
32,1643.97,0.5469,0.44163,0.99355,0.93742,0.92857,0.95805,0.85792,0.52785,0.45236,0.98232,0.000770034,0.000770034,0.000770034
33,1695.3,0.52315,0.42434,0.97987,0.93955,0.94823,0.96757,0.8767,0.52171,0.41792,0.97199,0.000759035,0.000759035,0.000759035
34,1746.62,0.51453,0.40171,0.98194,0.95886,0.92909,0.95741,0.87349,0.50467,0.45472,0.97967,0.000748036,0.000748036,0.000748036
35,1797.76,0.52065,0.40072,0.97976,0.94687,0.93658,0.95999,0.86952,0.53496,0.48132,0.99713,0.000737037,0.000737037,0.000737037
36,1849.1,0.52348,0.43769,0.98332,0.94988,0.92433,0.95764,0.87242,0.52205,0.46313,0.98731,0.000726038,0.000726038,0.000726038
37,1900.47,0.49217,0.38688,0.96221,0.95062,0.93588,0.9617,0.87159,0.54268,0.43388,1.00765,0.00071504,0.00071504,0.00071504
38,1951.66,0.50592,0.3977,0.96232,0.95323,0.92407,0.95713,0.8722,0.52958,0.45032,0.99439,0.000704041,0.000704041,0.000704041
